ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,daily_return,cumulative_return,ma5,ma20,month,stock_name,industry
601318.SH,2025-01-02,52.7,52.73,50.39,50.71,52.65,-1.94,-3.6847,948579.17,4877807.223,0.0,0.0,,,2025-01,中国平安,金融保险
601318.SH,2025-01-03,51.0,51.09,50.08,50.3,50.71,-0.41,-0.8085,551351.85,2788346.287,-0.00808519029777166,-0.00808519029777166,,,2025-01,中国平安,金融保险
601318.SH,2025-01-06,50.55,50.62,49.83,50.34,50.3,0.04,0.0795,413489.51,2077171.909,0.0007952286282306709,-0.007296391244330458,,,2025-01,中国平安,金融保险
601318.SH,2025-01-07,50.19,50.36,49.81,50.17,50.34,-0.17,-0.3377,392787.17,1967557.698,-0.003377036154151747,-0.010648787221455236,,,2025-01,中国平安,金融保险
601318.SH,2025-01-08,50.18,50.58,49.55,50.3,50.17,0.13,0.2591,510383.04,2555823.167,0.002591189954155748,-0.00808519029777166,50.364,,2025-01,中国平安,金融保险
601318.SH,2025-01-09,50.26,50.41,49.8,49.81,50.3,-0.49,-0.9742,400821.12,2005089.617,-0.009741550695824941,-0.017747978702425504,50.184,,2025-01,中国平安,金融保险
601318.SH,2025-01-10,49.82,50.08,48.9,48.95,49.81,-0.86,-1.7266,522703.71,2576373.866,-0.017265609315398556,-0.03470715835140992,49.914,,2025-01,中国平安,金融保险
601318.SH,2025-01-13,48.48,48.8,48.1,48.59,48.95,-0.36,-0.7354,511393.15,2474824.396,-0.007354443309499525,-0.041806349832380185,49.56400000000001,,2025-01,中国平安,金融保险
601318.SH,2025-01-14,48.59,49.58,48.5,49.36,48.59,0.77,1.5847,615774.4,3024006.484,0.0158468820745008,-0.02662196805363848,49.402,,2025-01,中国平安,金融保险
601318.SH,2025-01-15,49.25,49.66,48.91,49.11,49.36,-0.25,-0.5065,458028.52,2251226.874,-0.005064829821717964,-0.03155196213764555,49.164,,2025-01,中国平安,金融保险
601318.SH,2025-01-16,49.3,49.75,48.93,49.25,49.11,0.14,0.2851,415761.07,2052212.529,0.0028507432294848645,-0.028791165450601564,49.05200000000001,,2025-01,中国平安,金融保险
601318.SH,2025-01-17,49.1,49.57,48.77,49.38,49.25,0.13,0.264,460746.66,2273441.157,0.002639593908629445,-0.026227568526917877,49.138,,2025-01,中国平安,金融保险
601318.SH,2025-01-20,49.72,50.3,49.66,49.81,49.38,0.43,0.8708,491736.07,2458746.694,0.008707978938841565,-0.017747978702425726,49.382,,2025-01,中国平安,金融保险
601318.SH,2025-01-21,50.2,50.39,49.66,49.9,49.81,0.09,0.1807,409950.81,2049216.698,0.0018068660911463308,-0.015973180832183242,49.49,,2025-01,中国平安,金融保险
601318.SH,2025-01-22,49.72,49.92,48.85,48.95,49.9,-0.95,-1.9038,530780.46,2606595.142,-0.019038076152304573,-0.03470715835141014,49.458,,2025-01,中国平安,金融保险
601318.SH,2025-01-23,49.82,51.45,49.78,50.37,48.95,1.42,2.9009,969104.55,4910872.825,0.02900919305413674,-0.00670479195425,49.682,,2025-01,中国平安,金融保险
601318.SH,2025-01-24,50.18,51.37,50.1,50.86,50.37,0.49,0.9728,616778.86,3140198.84,0.009728012705975786,0.0029579964504038436,49.977999999999994,,2025-01,中国平安,金融保险
601318.SH,2025-01-27,51.03,51.62,50.81,50.85,50.86,-0.01,-0.0197,524547.48,2681560.916,-0.00019661816751859185,0.002760796687043543,50.186,,2025-01,中国平安,金融保险
601318.SH,2025-02-05,50.98,51.0,49.67,49.72,50.85,-1.13,-2.2222,583072.3,2921528.575,-0.022222222222222254,-0.019522776572668543,50.15,,2025-02,中国平安,金融保险
601318.SH,2025-02-06,49.73,50.5,49.68,50.25,49.72,0.53,1.066,415037.24,2078321.191,0.010659694288012833,-0.009071189114573497,50.410000000000004,49.849000000000004,2025-02,中国平安,金融保险
601318.SH,2025-02-07,50.18,51.44,49.84,50.88,50.25,0.63,1.2537,725812.02,3679372.001,0.012537313432835928,0.003352395977124445,50.512,49.8575,2025-02,中国平安,金融保险
601318.SH,2025-02-10,50.89,51.36,50.8,50.9,50.88,0.02,0.0393,431814.84,2203839.896,0.00039308176100627534,0.0037467955038450462,50.519999999999996,49.8875,2025-02,中国平安,金融保险
601318.SH,2025-02-11,51.2,51.24,50.37,50.52,50.9,-0.38,-0.7466,381844.0,1931993.468,-0.00746561886051067,-0.0037467955038456013,50.45399999999999,49.896499999999996,2025-02,中国平安,金融保险
601318.SH,2025-02-12,50.52,51.12,50.18,51.08,50.52,0.56,1.1085,446993.78,2261445.451,0.011084718923198622,0.007296391244330236,50.726,49.942,2025-02,中国平安,金融保险
601318.SH,2025-02-13,50.92,51.78,50.81,51.02,51.08,-0.06,-0.1175,590363.32,3019334.998,-0.0011746280344556714,0.006113192664168654,50.88,49.977999999999994,2025-02,中国平安,金融保险
601318.SH,2025-02-14,50.99,51.86,50.8,51.7,51.02,0.68,1.3328,599771.61,3080098.77,0.013328106624852953,0.019522776572667988,51.044,50.072500000000005,2025-02,中国平安,金融保险
601318.SH,2025-02-17,51.83,52.38,51.41,51.84,51.7,0.14,0.2708,625710.44,3245003.133,0.0027079303675048294,0.022283573259711975,51.232000000000006,50.217,2025-02,中国平安,金融保险
601318.SH,2025-02-18,51.67,52.18,51.2,51.31,51.84,-0.53,-1.0224,650082.34,3362664.791,-0.010223765432098797,0.011831985801616929,51.39000000000001,50.353,2025-02,中国平安,金融保险
601318.SH,2025-02-19,51.19,51.83,51.02,51.45,51.31,0.14,0.2729,464425.76,2388611.401,0.0027285129604366354,0.014592782488660916,51.464,50.4575,2025-02,中国平安,金融保险
601318.SH,2025-02-20,51.23,51.31,50.66,50.78,51.45,-0.67,-1.3022,515384.78,2620444.374,-0.013022351797862042,0.0013803983435218825,51.416,50.541000000000004,2025-02,中国平安,金融保险
601318.SH,2025-02-21,50.99,51.5,50.46,51.2,50.78,0.42,0.8271,668760.93,3415352.331,0.00827097282394651,0.009662788404653844,51.31600000000001,50.63850000000001,2025-02,中国平安,金融保险
601318.SH,2025-02-24,51.2,52.48,51.05,52.0,51.2,0.8,1.5625,835822.74,4341042.76,0.015625,0.025438769473476563,51.348,50.76950000000001,2025-02,中国平安,金融保险
601318.SH,2025-02-25,51.5,52.1,50.85,50.98,52.0,-1.02,-1.9615,642429.44,3298896.562,-0.0196153846153847,0.005324393610727451,51.282000000000004,50.827999999999996,2025-02,中国平安,金融保险
601318.SH,2025-02-26,51.1,51.78,51.03,51.62,50.98,0.64,1.2554,536578.05,2758370.362,0.012553942722636435,0.017945178465785805,51.315999999999995,50.914,2025-02,中国平安,金融保险
601318.SH,2025-02-27,51.78,51.8,51.12,51.62,51.62,0.0,0.0,547240.08,2813972.257,0.0,0.017945178465785805,51.483999999999995,51.0475,2025-02,中国平安,金融保险
601318.SH,2025-02-28,51.4,51.65,50.38,50.38,51.62,-1.24,-2.4022,805267.53,4102825.272,-0.024021697016660126,-0.006507592190889366,51.32000000000001,51.047999999999995,2025-02,中国平安,金融保险
601318.SH,2025-03-03,50.55,50.82,50.06,50.33,50.38,-0.05,-0.0992,423160.83,2135730.015,-0.000992457324335172,-0.00749359100769087,50.986000000000004,51.0215,2025-03,中国平安,金融保险
601318.SH,2025-03-04,50.08,50.29,50.0,50.08,50.33,-0.25,-0.4967,372431.63,1867141.471,-0.004967216371945193,-0.012423585091698053,50.806,50.983000000000004,2025-03,中国平安,金融保险
601318.SH,2025-03-05,50.18,50.55,50.01,50.38,50.08,0.3,0.599,455071.76,2287766.876,0.005990415335463295,-0.006507592190889477,50.55800000000001,51.016000000000005,2025-03,中国平安,金融保险
601318.SH,2025-03-06,50.77,51.93,50.53,51.64,50.38,1.26,2.501,1045821.01,5369202.399,0.02500992457324336,0.018339577992506406,50.562,51.0855,2025-03,中国平安,金融保险
601318.SH,2025-03-07,51.6,51.84,51.32,51.5,51.64,-0.14,-0.2711,481478.72,2481121.736,-0.0027110766847405765,0.015578781305462419,50.786,51.1165,2025-03,中国平安,金融保险
601318.SH,2025-03-10,51.51,51.66,50.78,51.25,51.5,-0.25,-0.4854,611283.42,3121852.67,-0.004854368932038833,0.010648787221455347,50.97,51.134,2025-03,中国平安,金融保险
601318.SH,2025-03-11,50.71,51.5,50.6,51.5,51.25,0.25,0.4878,529147.4,2702757.544,0.004878048780487809,0.015578781305462419,51.254,51.18300000000001,2025-03,中国平安,金融保险
601318.SH,2025-03-12,51.5,51.6,51.01,51.15,51.5,-0.35,-0.6796,470578.01,2410921.164,-0.006796116504854344,0.008676789587852562,51.408,51.1865,2025-03,中国平安,金融保险
601318.SH,2025-03-13,51.15,51.55,50.93,51.14,51.15,-0.01,-0.0196,411448.3,2107254.552,-0.00019550342130980614,0.008479589824492262,51.30800000000001,51.1925,2025-03,中国平安,金融保险
